[2026-05-06 10:35:09] BUY | ETHUSDT | Qtd: 0.00260000 | Preço: 2385.50 USDT | Notional: 6.20 USDT | Estratégia Scanner
[2026-05-06 10:36:01] SELL | ETHUSDT | Qtd: 0.00260000 | Preço: 2382.58 USDT | Notional: 6.19 USDT | SINAL SELL
[2026-05-06 11:00:09] BUY | ETHUSDT | Qtd: 0.00260000 | Preço: 2369.33 USDT | Notional: 6.16 USDT | Estratégia Scanner
[2026-05-06 11:00:43] SELL | ETHUSDT | Qtd: 0.00260000 | Preço: 2366.00 USDT | Notional: 6.15 USDT | SINAL SELL
[2026-05-06 11:01:24] BUY | BNBUSDT | Qtd: 0.01000000 | Preço: 646.93 USDT | Notional: 6.47 USDT | Estratégia Scanner
[2026-05-06 11:01:44] SELL | BNBUSDT | Qtd: 0.01000000 | Preço: 646.78 USDT | Notional: 6.47 USDT | SINAL SELL
[2026-05-06 11:02:43] BUY | BNBUSDT | Qtd: 0.01000000 | Preço: 646.98 USDT | Notional: 6.47 USDT | Estratégia Scanner
[2026-05-06 11:03:02] SELL | BNBUSDT | Qtd: 0.01000000 | Preço: 646.58 USDT | Notional: 6.47 USDT | SINAL SELL
[2026-05-06 12:13:50] BUY | ETHUSDT | Qtd: 0.00260000 | Preço: 2355.13 USDT | Notional: 6.12 USDT | Estratégia Scanner
[2026-05-06 17:02:31] SELL | ETHUSDT | Qtd: 0.00260000 | Preço: 2352.00 USDT | Notional: 6.12 USDT | SINAL SELL
[2026-05-06 23:30:51] BUY | RENDERUSDT | Qtd: 3.15000000 | Preço: 1.91 USDT | Notional: 6.00 USDT | Estratégia Scanner
[2026-05-06 23:32:00] SELL | RENDERUSDT | Qtd: 3.15000000 | Preço: 1.91 USDT | Notional: 6.01 USDT | SINAL SELL
[2026-05-07 00:00:09] BUY | WIFUSDT | Qtd: 27.53000000 | Preço: 0.22 USDT | Notional: 6.00 USDT | Estratégia Scanner
[2026-05-07 00:00:45] SELL | WIFUSDT | Qtd: 27.53000000 | Preço: 0.22 USDT | Notional: 5.97 USDT | SINAL SELL
[2026-05-07 00:01:46] BUY | WIFUSDT | Qtd: 27.53000000 | Preço: 0.22 USDT | Notional: 6.00 USDT | Estratégia Scanner
[2026-05-07 00:02:06] SELL | WIFUSDT | Qtd: 27.53000000 | Preço: 0.22 USDT | Notional: 5.97 USDT | SINAL SELL
[2026-05-07 00:50:05] BUY | BNBUSDT | Qtd: 0.01000000 | Preço: 644.30 USDT | Notional: 6.44 USDT | Modo: ALL
[2026-05-07 02:30:25] SELL | BNBUSDT | Qtd: 0.01000000 | Preço: 645.88 USDT | Notional: 6.46 USDT | SINAL SELL (0.25%)
[2026-05-07 02:33:21] BUY | BNBUSDT | Qtd: 0.01000000 | Preço: 646.08 USDT | Notional: 6.46 USDT | Modo: ALL
[2026-05-07 03:44:13] SELL | BNBUSDT | Qtd: 0.01000000 | Preço: 648.09 USDT | Notional: 6.48 USDT | SINAL SELL (0.31%)
[2026-05-07 03:44:37] BUY | ETHUSDT | Qtd: 0.00260000 | Preço: 2335.96 USDT | Notional: 6.07 USDT | Modo: ALL
[2026-05-07 04:12:35] SELL | ETHUSDT | Qtd: 0.00260000 | Preço: 2341.60 USDT | Notional: 6.09 USDT | SINAL SELL (0.24%)
[2026-05-07 07:00:14] BUY | WIFUSDT | Qtd: 27.78000000 | Preço: 0.22 USDT | Notional: 6.00 USDT | Modo: ALL
[2026-05-07 09:13:24] SELL | WIFUSDT | Qtd: 27.78000000 | Preço: 0.22 USDT | Notional: 6.06 USDT | TAKE PROFIT
[2026-05-07 09:13:48] BUY | DOGEUSDT | Qtd: 54.00000000 | Preço: 0.11 USDT | Notional: 6.02 USDT | Modo: ALL
[2026-05-07 10:48:08] SELL | DOGEUSDT | Qtd: 54.00000000 | Preço: 0.11 USDT | Notional: 5.89 USDT | STOP LOSS
[2026-05-07 12:06:08] BUY | ETHUSDT | Qtd: 0.00270000 | Preço: 2297.14 USDT | Notional: 6.20 USDT | Modo: PNY
[2026-05-10 08:26:09] BUY | SOLUSDT | Qtd: 0.16100000 | Preço: 93.29 USDT | Notional: 15.02 USDT | Modo: PNY
[2026-05-10 12:03:53] SELL | SOLUSDT | Qtd: 0.16100000 | Preço: 94.10 USDT | Notional: 15.15 USDT | SINAL SELL (0.87%)
[2026-05-11 00:24:07] BUY | BTCUSDT | Qtd: 0.00019000 | Preço: 80679.30 USDT | Notional: 15.33 USDT | Modo: PNY
